image_name,DER,MSB,PSNR,SSIM
400.pgm,3.015228271484375,5,inf,1
401.pgm,2.5883941650390625,5,inf,1
402.pgm,1.1202239990234375,6,inf,1
403.pgm,3.5600662231445312,6,inf,1
404.pgm,2.3053550720214844,4,inf,1
405.pgm,2.3390235900878906,4,inf,1
406.pgm,2.2476959228515625,5,inf,1
407.pgm,2.3954620361328125,5,inf,1
408.pgm,0.8410377502441406,2,inf,1
409.pgm,2.43157958984375,5,inf,1
410.pgm,0.32416534423828125,7,inf,1
411.pgm,1.4240036010742188,3,inf,1
412.pgm,2.607513427734375,5,inf,1
413.pgm,1.5942153930664062,3,inf,1
414.pgm,3.01123046875,5,inf,1
415.pgm,2.6699676513671875,5,inf,1
416.pgm,3.0476837158203125,5,inf,1
417.pgm,3.3655357360839844,6,inf,1
418.pgm,2.5967788696289062,6,inf,1
419.pgm,0.6763648986816406,6,inf,1
420.pgm,1.4911575317382812,3,inf,1
421.pgm,1.5969619750976562,3,inf,1
422.pgm,2.6410369873046875,5,inf,1
423.pgm,2.4180450439453125,5,inf,1
424.pgm,2.016265869140625,5,inf,1
425.pgm,1.3844680786132812,3,inf,1
426.pgm,2.642364501953125,6,inf,1
427.pgm,0.9699440002441406,6,inf,1
428.pgm,2.114990234375,5,inf,1
429.pgm,1.4041213989257812,3,inf,1
430.pgm,1.972686767578125,4,inf,1
431.pgm,2.2501373291015625,4,inf,1
432.pgm,0.9757614135742188,6,inf,1
433.pgm,2.9487228393554688,6,inf,1
434.pgm,1.4491806030273438,3,inf,1
435.pgm,2.052093505859375,5,inf,1
436.pgm,1.8078422546386719,6,inf,1
437.pgm,2.3291168212890625,5,inf,1
438.pgm,2.7596282958984375,6,inf,1
439.pgm,2.2258453369140625,5,inf,1
440.pgm,1.628265380859375,5,inf,1
441.pgm,2.2345428466796875,5,inf,1
442.pgm,0.9253692626953125,6,inf,1
443.pgm,2.6812744140625,6,inf,1
444.pgm,2.7177581787109375,5,inf,1
445.pgm,3.216991424560547,6,inf,1
446.pgm,1.8849678039550781,4,inf,1
447.pgm,1.8858261108398438,4,inf,1
448.pgm,3.9154052734375,6,inf,1
449.pgm,3.2470321655273438,6,inf,1
450.pgm,0.887420654296875,7,inf,1
451.pgm,2.7799835205078125,5,inf,1
452.pgm,1.7307090759277344,6,inf,1
453.pgm,3.9392852783203125,6,inf,1
454.pgm,1.9722633361816406,4,inf,1
455.pgm,2.6127777099609375,5,inf,1
456.pgm,3.3600425720214844,6,inf,1
457.pgm,3.053131103515625,6,inf,1
458.pgm,2.3486175537109375,5,inf,1
459.pgm,1.0268402099609375,6,inf,1
460.pgm,1.5201873779296875,3,inf,1
461.pgm,2.4429779052734375,5,inf,1
462.pgm,2.1405792236328125,5,inf,1
463.pgm,1.4239578247070312,3,inf,1
464.pgm,3.195781707763672,6,inf,1
465.pgm,3.5965919494628906,6,inf,1
466.pgm,1.0291099548339844,6,inf,1
467.pgm,2.1241836547851562,4,inf,1
468.pgm,2.5736236572265625,5,inf,1
469.pgm,1.3844108581542969,6,inf,1
470.pgm,2.6785850524902344,6,inf,1
471.pgm,2.6492919921875,5,inf,1
472.pgm,2.673309326171875,5,inf,1
473.pgm,3.3211326599121094,6,inf,1
474.pgm,1.4435272216796875,3,inf,1
475.pgm,2.9509735107421875,6,inf,1
476.pgm,2.2633094787597656,4,inf,1
477.pgm,2.7615966796875,5,inf,1
478.pgm,1.9670333862304688,4,inf,1
479.pgm,3.0697059631347656,6,inf,1
480.pgm,2.58648681640625,5,inf,1
481.pgm,2.2156105041503906,4,inf,1
482.pgm,1.5601119995117188,3,inf,1
483.pgm,2.0922317504882812,4,inf,1
484.pgm,0.86663818359375,7,inf,1
485.pgm,3.748645782470703,6,inf,1
486.pgm,3.005523681640625,6,inf,1
487.pgm,2.243499755859375,5,inf,1
488.pgm,2.682830810546875,5,inf,1
489.pgm,2.400390625,5,inf,1
490.pgm,2.3654327392578125,5,inf,1
491.pgm,1.9578857421875,5,inf,1
492.pgm,1.4405632019042969,6,inf,1
493.pgm,0.81976318359375,5,inf,1
494.pgm,2.535003662109375,5,inf,1
495.pgm,3.263378143310547,6,inf,1
496.pgm,1.8914947509765625,5,inf,1
497.pgm,2.953166961669922,6,inf,1
498.pgm,2.4019927978515625,5,inf,1
499.pgm,2.1522445678710938,4,inf,1
500.pgm,2.7704429626464844,6,inf,1
501.pgm,1.3655319213867188,3,inf,1
502.pgm,1.9985733032226562,4,inf,1
503.pgm,3.4059715270996094,6,inf,1
504.pgm,2.351470947265625,5,inf,1
505.pgm,2.681915283203125,5,inf,1
506.pgm,0.30301666259765625,7,inf,1
507.pgm,1.8534278869628906,4,inf,1
508.pgm,1.7626991271972656,4,inf,1
509.pgm,2.9404144287109375,5,inf,1
510.pgm,2.2382164001464844,6,inf,1
511.pgm,3.181133270263672,6,inf,1
512.pgm,2.6740074157714844,6,inf,1
513.pgm,3.690032958984375,6,inf,1
514.pgm,2.6729888916015625,5,inf,1
515.pgm,2.4454193115234375,5,inf,1
516.pgm,3.5895538330078125,6,inf,1
